,url,hospital,datetime,comment,sentiment_label,review_len,word_count
10,82511,Geraldton Population Health Unit,2021-07-20 11:33:45+00:00,we love kay visit 5 yr old son week school i would attend session major time kay lovely energet encouraging she brought favourit game week tailor worksheet thing interest in includ favourit anim kangaroo  my son look forward appoint week speech write improv term mani thank time effort put session kaye hopefully see anoth term year,1,332,56
11,82512,Royal Prince Alfred COVID Vaccination Hub,2021-07-20 11:45:47+00:00,given media news conflict announc regard vaccinations i final made decis get vaccin via nsw health i elig appoint pfizer vaccin schedul appoint recent royal princ alfr hospit nsw i would like commend everi singl person involv process  efficient profession well done from checkin peopl ladi gave band folk direct us right magic nurse love kate number 8 thank youi think doubt stressful shortstaf demand job everyon made look effortless  happy thank you i know hear news thank you,1,478,79
12,82514,Osborne Park Hospital,2021-07-20 12:12:31+00:00,recently i attend osbourn park hospit day surgeri eye surgery i wait 5 hour treat i believ suppli delay due courier get lost the point i would like make care nurs dr anton also anaesthetist attend sorri i name consider took explain problem apologis long wait they took time explain procedur put eas way bright cheerful professional both whilst wait surgeri whilst oper eye put ease also thank nurs aftercare peopl make less stress situat whilst attend osbourn park hospit surgery onc mani thanks i back eye treatedkindest regards,1,529,89
13,82515,Rockingham General Hospital,2021-07-06 19:19:00+00:00,when i attend first appointment push induct estim day deliveri edd previou birth inductions i felt obstetrician forc mention word stillbirth multipl time  like threat opinion explan risks am thank i well informed request referr scan check placenta edd i acut depression anxiety ptsd the midwifegpo refer made note referr  i high risk major pregnancy after birth babi taken neonat unit nnu antibiot monitoring wa told paediatrician baby blood sugar level bsl could drop taken drip might need topup i happi do i breastfe express colostrum approx1ltr antenatally i told them i prepar bottletub feed ebm 6 hour test bsl declin  i told nurs enter room bottl formula consent form formula discuss  i inform nnu i colostrum i ask couldnt use told wasnt enough i sent partner get more i voic concern  nurs ask id like second opinion i said ye got midwife i ask use colostrum i told i recalled formula sugar milk might good enough i ask risk low bsl told i recall babi could go shock end braindamaged i reiter concern offer formula suggest colostrum first they accept i advis mean theyll prick babi often they retest 1 hour  result gone 25 47babi full blood check i believ paediatrician concern sent sampl fsh pch result come back midwif discuss discharge i given discharg medication except tramadol i believ it schedul 4 medicationi mention anxieti discharg told speak social worker  i told i didnt want go home yet  worri babi still wait results also concern discharg without baby social worker spoke gp  i believ gp wouldnt keep medic reason  i felt invalid hear gp consid mental health condit medic reason also ask current medic breastfeed safeti  surpris given babi na done blood review came back ok afternoon start discharge i reiter i comfort discharged they allow stay night  i discharg next morning midwif discharg check baby stat oxygen sit 82 told 96 discharg took good 10 minut rous get baby oxygen up i again voic concern go home want yet wa reassur babi fine words pink discharg without remaind medication at home visit next day midwif notic baby breath rate high i told normal  id reluct discharg amongst things they phone paediatrician said bring babi back we went hospit afternoon day 5 got sent xray paperwork note babi day 6 wa told bed would arrang  anoth nurs mention i day 6 i correct told could readmitted i believ paperwork obvious complet follow day 6 midwif came see ask i need anything i ask pain relief said i struggl mental health wa later told i wasnt readmitted i felt unabl offer care selfadminist medic go gp anyth else wa given bed boarder howev meal organised i believ due babi admit patient babi of mine it nurs notic found spare meal start paperwork  i believ hand next shift process i ask meal next day i spent time nnu heard numer discuss patients i feel way particular supervisor speak staff rude intimid extrem unprofession opinion they heat discuss nurses whilst parent present bed i later heard paediatrician defend decis keep babi nnu the paediatrician came discuss baby health care na score potenti medication i ask long babi would need monitor for told that ideal world stay hospit one two week mothercrafting howev minimum 3 days paediatrician assur care babi prioriti bed situat concern howev understood apologis experience two hour later i advis discharg follow day  i refus have told otherwis hour earlier i ask transfer differ hospit care the paediatrician support howev unabl transfer babi discharg nnu room follow paediatricians peopl saw next 3 days except one midwif came accidentally i ask could check tramadol omit discharg med still schedul 4 cupboard i sever afterpains i believ howev sent back pharmacy,1,3652,620
14,82517,Lives Lived Well – Wyla Residential Services (Orange),2021-07-20 13:57:35+00:00,when i first arrived total confus emot exhausting notifi detox wyla transport elouera told cost last minut well receiv welcom pack 34 day detox i wasnt shown around campu day 2 i felt organis begin process could bit better i greatest experi wyla the staff patient i interact kind welcom love made day fli abil interact group session much easier the chef cook parent advic nearli favourit part entir thing my absolut favourit consist routin love compani resid staff i wish i could go back holidayth i would changewhen detox i felt welcom pack day 1 easygo routineschedul detox resid would great i felt lost isol resid week detox it nice day get use place option attend group i felt schedul receiv rehab resid complet week detox i dishearten find couldnt go walks exercis gym go shop go commun outings coronaviru affect visit anyway i cant complain i believ detox schedul would help adjust period well save peopl get let abus staff whose fault notin opinion pre facil assess could inform reliabl i call twice within 2 week attend brochur i told i would receiv email gain idea plan ahead receiv info day attend stressful also i recal told would cost singl admiss fee i could bare afford find anoth admiss fee transfer elouera plu cost stay 6 week organis 4 week total due pregnanton staff member decid i believe prepar group late chose cancel group i felt unprofession unorganis i believ routin voluntarili learn thi frustrat meth i wouldnt changeth group sessions morn even meet super valuabl i felt foundat session pretti solid maintain calm group could easili interact one another the session inform uplift major time allow leav session feel motiv happyth meal mealtim perfectli plan chef absolut amazing i felt full energy healthi balanc everi meal couldnt wait sit group read chat mealtimesth rehab booklet great abil pace was i felt awesome i feel confid within work talk achiev groupth case worker great someon tell person issu without caus scene awesome adjust idea first suck opinion becom better human feel greatonc rehab day go quickli fill well i love schedul follow routin much i love chef cookingthank amaz staff resid wyla help make recoveri journey wonder experi time life i never forget one best decis i ever made entir life attend wyla i would heartbeat didnt help much lol,1,2288,392
15,82518,King Edward Memorial Hospital,2021-07-15 12:49:08+00:00,dure pregnancy birth postbirth visits i firmli feel mgp program base hospit best world  continu midwif care plu hospit servicesfacilities i felt known close support whole way includ midwif take time explor previou histori on i believe via file relay me in opinion level continu would felt i seen differ profession appoint via public system i also ad feel secur babi i secur hospit doctor facil close hand whole time i didnt feel much i went famili birth centr first pregnancyappoint o block alway time this quiet setting skill knowledg midwif made feel though i actual get privat servicewhen i start unexpectedli bleed 35 weeks known midwif call talk follow after made stress situat much easier manag made feel calmer i would otherwiseat birth i similarli felt calm know would guid birth visit home afterwards by point i develop trust relationshiprapport i felt i safe hand i could trust advic i given up down labourat stage i dont plan third child if i though i would definit go mgp base hospital i would also specif ask midwife carissa againa huge thank carissami husband i cant fault servic provid us realli appreci everyth us,1,1129,193
16,82519,King Edward Memorial Hospital,2021-07-16 16:30:03+00:00,i gave birth coupl month ago kemh i care kemh mgp i felt reassur immens help work midwif throughout pregnancy the care one one and opinion person antenat appointments birth care postnatal my midwif team contact 247 throughout pregnanc birth back home newborn answer question i hadmi midwif coach birth option avail broaden knowledg natur pain relief tacticsi would recommend mgp expect mothers,1,393,63
17,82520,Geraldton Hospital,2021-07-06 22:42:07+00:00,our brotherbroth law taken geraldton region hospit recent ill man it turn suffer blood infect complic led multipl organ failure sadli surviv illness our experi hospit one complet utmost care brother everyon help utter profession empathy we whole time never moment unsur happening we felt nobodi go give life we wish thank mani nurs doctor part trial life ultim short palli care nurs alice ruth hannah ellen jasmine ainslie francesca dr divine dr ahmad dr dan one doctor sadli cannot rememb name amazing two nurs hdu catch names as well fantast ambul drivers we felt everyon treat brother utmost respect ask better we want know much appreci care we obvious devast outcom knew brother warm clean care time pass mean everyth us thank everyon involved xxxdivdiv,1,757,126
18,82521,Geraldton Hospital,2021-07-09 11:07:28+00:00,i attend geraldton health campu covid test the team emerg respiratori clinic caring friendli efficient i prepar wait seen immediately i receiv neg result text less 24hour turnaround thank ghc front line behind scene team take care geraldton community,1,250,39
19,82522,Geraldton Hospital,2021-07-08 11:26:48+00:00,i present ed geraldton becom extrem short breath coughcold symptoms i put attend i knew i would go covid test isolation i got triag i feltth staff amaz profession follow process well i admit ward excel care ed singl room ward staff look well everi staff entri full ppe even psas deliv welcom cup teait seem peopl moan treatment geraldton time experience i want say i impress care received local nurs myself i proud team work much pressure thank much,1,449,80
20,82524,Merredin Hospital (Aged Care),2021-07-12 16:21:01+00:00,i support worker stori assist older person access residenti age care there issu person background made challeng accept residenti age care facilities mr christoph cox director nurs merredin hospit incred help consider individual needs mr cox made enquiri sever facil wheatbelt region i felt went beyond assist person it hearten know health profession sympathet individual need i appreci support,1,393,59
21,82525,Hedland Health Campus,2021-07-20 15:37:00+00:00,i call hedland health campu switchboard ask connect outpati department i transfer phone answer i redirect back switchboard thi process repeat mani mani time throughout day luck i advis 2 staff handl multipl enquiri commoni felt frustrat angri i knew depart open i could get response base experience extrem clear outpati recept underman i believ resourc need put place correct downfall pleas consid this it gener happi time peopl battl health problem connect depart is i feel unreason thing come hhc i believ much better,0,519,85
22,82526,Geraldton Hospital,2021-07-20 15:41:54+00:00,i want jump express gratitud implement access programon biggest fear fall pregnant feel empowered heard mani neg childbirth friend family creat genuin fearsi want thank both kasey angela roll program it given mani tools mental strength realli empow inform choic im make regard birth babynot that husband first time feel like realli role birth baby and it amaz see take notes becom inform realli take posit strong role throughout pregnancyi realli hope anyth program offer statewide i know mani peopl live especi regionally wa i believ would benefit greatli program,1,564,90
23,82527,Rockingham General Hospital,2021-07-01 17:04:39+00:00,i admit 2nd surgeri similar natur year rockingham gener hospitali admit dpu i feltth nurs kind went way make feel eas even though i feel lot preop anxiety base experience theatr nurs lovely held hand made feel care for i felt gyna reg doctor love always in opinion anaesthet reg consent quit abrupt speaking induct gentl  felt like tri suffoc oxygen mask whilst tell calm take deep breaths i nurs i tell dont need appli huge amount pressur get seal when i woke post op i lot pain i feltth pacu nurs love tri get pain control reviewedspok anaesthetist start pca which id previou surgeri work pretti well i believ anaesthetist refus nurs continu give fentanyl protocol variou iv analgesia subsequ i felt sick need antiemet well the anaesthetist walk past one point i cri pain look me seemingli said someth nurs briefli walk offon return ward isaw rn mostli care student nurs whose english great opinionand i feltjust want get ob assess pain score noth iti pain press call bell it took 20 minut nurs respond pain increas substanti whilst wait nurs answer call bell told theyd get actual nurse i wait anoth 15 minut press call bell i thought must busy my partner get upset could see i quit lot pain i wait anoth 10 minut nurs came time i final receiv analgesia 50 minut total far long i worri i someon older unwel wait long assist i believ someth bad could happenlat even i told i move dpu night full want admit patients i bit skeptic told nurs i didnt want move move anyway it quiet night howev i understandth nurs overnight doubl shift seem unsafe my call bell didnt work i told nurs noth done morn shift started the staff night shift love check us regularli even made us cup tea morn kindth next morn i feel i kind forgotten treat like dpu patient it super busi loud admiss come i felt embarrass walk past lot patient visitor use toilet etc breakfast felt likea last minut thought  origin order cancel i move ward seem ridicul  cant order follow patient discharged so i serv seem becold soggi toast gluten free cornflakesi feel like nurs realli want discharg asap ask numer time i want go home day i kept thinking cours i do onc script done which midmorning nurs gave script told fill hospit pharmaci way whi fill i wait meet criteria discharge when i final abl go home earli afternoon i walk feel bit sore light headed anoth nurs ask nurseif i need wheelchair out nurs responded i recallno need walk made feel like want discharg asap i wouldnt make patient walk distanc car extens gyna surgeryon way partner i went hospit pharmaci initi want fill one script told partnerto fill two externally i felt weird my partner said theyd like fill dont stop way home the pharmacist left return say itll 2 hour script filled now i know hospit pharmaci busi wait long partner thought ridicul especi consid nurs didnt want fill wait wardoverall i would say averag experience previou experi actual much wors im glad time went bit smoother previous i spoke pharmacist medications clear physio lot educ would nice receiv time too,1,3013,538
24,82528,St George Hospital COVID Vaccine Hub,2021-07-20 16:43:19+00:00,had late afternoon appoint st georg hospital i anxiou provid reclin case i pass out they friendli patient i lucky thank guys,1,124,22
25,82529,King Edward Memorial Hospital,2021-07-20 17:17:45+00:00,i alloc mgp4 midwif chanc first pregnanc impress model care i sure get refer back program 2nd pregnancyw lucki enough midwif pregnanc must commend carissa profession knowledge carissa wonder calm quietli confid aura alway reassur pleas deliv babies although job look mani women families alway rememb special person family,1,321,49
26,82530,Royal Perth Hospital,2021-07-20 22:49:35+00:00,my parent major spinal surgeri went well uncompl recovery in opinion surgeon fantastic however i believ multipl seriou issu commun impact parentscaredivdiv1 i horrifi discov whiteboard list patient ward main ward corridor when ever okay inform public space everi hospit i ever work sight staff area i believepati inform treat privaci respect i believ public informationdivdiv2 it seemed95 staff interact parent introduc parent launch whatev convers needed from i saw name visibl name tag again i found deepli concerning i believ take second say hi name x im ydivdiv3 in opinion zero consist inform mobilis use parent brace i believ nurs shift told parent wide differ thing put allow do surely i feel inform clearli document parent note avail patient member care team i surpris parent written inform guid thisdivdiv4 i felt discharg process disorganised i believ instruct parent allow weekend physiotherapy in opinion spinal team seem genuin surpris follow morn parent still weekend again inform commun discharg plan which i feel least abl discuss preop setting seeminglycomplet absentdivdivi honestli thought much better healthcar 2020 i deepli disappoint see famili member given littl empower treat like part team without digniti appropri help communication,1,1258,193
27,82532,St George Hospital COVID Vaccine Hub,2021-07-21 11:08:56+00:00,although long line peopl wait vaccination process easi fast i got front line staff well organised polit friendly well done,1,122,20
28,82533,Fiona Stanley Hospital,2021-07-15 16:16:09+00:00,my husband i came fiona stanley hospit book induct 39 week pregnant littl know go long journey ahead bring son world our induct took 40 hour i readi oxytocin drip i activ labour 18 hour due baby posit end emerg cesarean we felt wewer given except care involv fromth induct midwiv labour suit midwives theatreobstetr team postnat team matern ward multidisciplinari teams at everi point time fsh felt wewer given except care we alway inform includ decis made they took time ensur everyth need leaving they empathet kind us stress situat make us feel care everi stage we grate abl bring son healthi happi world we would like thank team across fsh matern unit brilliant care family we appreci even extrem pressur busi feltyou abl provid amaz care us first time parents even stress timeexperi us believ gave us best start parenthood thank you,1,837,144
29,82534,Fiona Stanley Hospital,2021-07-15 16:16:09+00:00,my husband i came fiona stanley hospit book induct 39 week pregnant littl know go long journey ahead bring son world our induct took 40 hour i readi oxytocin drip i activ labour 18 hour due baby posit end emerg cesarean we felt wewer given except care involv fromth induct midwiv labour suit midwives theatreobstetr team postnat team matern ward multidisciplinari teams at everi point time fsh felt wewer given except care we alway inform includ decis made they took time ensur everyth need leaving they empathet kind us stress situat make us feel care everi stage we grate abl bring son healthi happi world we would like thank team across fsh matern unit brilliant care family we appreci even extrem pressur busi feltyou abl provid amaz care us first time parents even stress timeexperi us believ gave us best start parenthood thank you,1,837,144
30,82535,St George Hospital COVID Vaccine Hub,2021-07-21 12:35:29+00:00,i would like give stand ovat covid team level 4 st georg public hospitali second covid inject i found system process absolut amazing the effici system one best i seen whole process registr inject took 15mins even though least 50 peopl ahead me everyon i encount super pleasant from secur guard ground floor cleaners admin manag nurs staff made whole process even reassuringdivcongratul team covid team organis amaz process divdivdivdivdiv,1,438,70
31,82536,St George Hospital COVID Vaccine Hub,2021-07-21 13:07:59+00:00,had book midmorn appointment arriv littl 2 hour appoint had work overnight anoth hospit nurs capac came asap appt told secur personnel pfizer vaccin wasnt avail one half hour appoint time even though i appt card specifi appoint time midmorning dateask speak member vaccin team told one avail i would wait afternoon vaccinedivdu current restrictions i told i could wait insid could wait outsid veranda time had sit cold 35 hoursdivarriv back hub entranc 20 minut time advis secur personneland wait line vaccin team arriv book patients 5 minut lateinform manag who refus give name i given appt midmorn wait 35 hours enquir happen mixup the nurs repli i arriv earli i had no apolog offer error appt schedul i ask person name report manager refuseddivwa ask team book use onlin system i believ work patient line wa told go upstair book there what i felt chao book line unbeliev due to opinion lack organis structur inform peopl need happen nextdivdivhad explain entir situat administr offic book vaccine said glitch systemdivdivinform rn administ vaccin issu i experienc told shoot messengerdival all absolut abhorr experi i believ never occur correct system place organis vaccin programme,0,1185,194
32,82537,Lives Lived Well – Wunya Residential Services (Caboolture),2021-07-21 14:57:22+00:00,from moment i walk door reception i warm feel right place recoveri i made feel welcom straight away nurs abbi love i met staff friendly definit calm anxiety 7 week i success complet program left wunya transit longerterm rehabilit centrei would like say absolut amaz treatment facilitator janelle fill abund priceless tool knowledg i never knew existedi end say i feel wunya amaz staff jason goe beyond keep support recoveri communitybas program,1,444,72
33,82538,Fiona Stanley Hospital,2021-07-16 14:12:32+00:00,i broke leg year ago plate put in i contract golden staph multipl cleanout anoth hospital that experi led chronic bone infection my stori event give background appoint wonder head surgeon fremantl hospit news knee bone necrot removed i told i could lose legi book fiona stanley hospit fsh oper theatr fremantl refurbished the fremantl surgeon great kind gentle but i woke i felt horror chaotic sub standard care fshon wake i gutwrench pain major languag barrier nurs attendance number gather around i felt nobodi appear know do onli panadol offer pain relief in opinion openli annoy me i becam extrem distressed help came student nurs murdoch who quickli got ice pack talk coordin get better pain relief they return comfort situat med arrived i need pain medication late even i believ dr ward argument nurs right outsid door say i recalled i concern i fremantl patient the nurs insist dr reluctantli attend me dure time i incontinent sheet chang 5 days roommat found linen room chang beds i offer assist shower bed bath i incontin number time due slow respons request assist get loo it humiliating in end i gather number bluey cardboard bedpan organis myself there towel bathroom loo paper run out request replac  i felt ignor understood the area around bed was opinion oh fall risk chair bed equip place safe manner on night 3 contract staff shift she fabul immedi tidi area rearrang furnitur equip around make navig all got towels clean med cup about 9 gather tabl gave clean she made milo help loo arrang pain medsth big concern base observations i wit medic chart signed sign next shift medic left amongst gather lili cup i asleep medic floor i brought nurses attent thrown bin manynurs use hand cleanser  even covid lockdown the bottl cleanser bed empty fill durat stay i believ nurs know use basic equipment ice machin leg i felt unabl read english instructions i watch physio first time hard i offer show i felt interest shown some i ask put on even physio indic nurs go 20 min everi two hours one nurs work blood pressur monitor work came loose nearli fell me i believ flustered i could hear english lesson i believe staff room opposit staff medic room it basic noisy one nurs sniffl constantli wipe nose hand whilst attend observations covid lockdown rememb hand clean first a nurs would attend patient bell run i believ turn leav without ask needed i shown order food the devic reach when i asked i alway put hold due demand staff i believe in opinion food inedible i bowl cornflak yoghurt breakfast nothing day 7 day i there i lie chees cracker great the nois level intolerable patient bell go off in hospit system make small ding light goe outsid room bell stops rather constantli boom till patient attend to thi could time med door slam everi mins nois staff room plu constant scream swear racist comment one patient it realli tortur result spasmod sleep at one point 6 visitor 2 children visit them base observations foulmouth argu other i frightened the person collect blood came room speak phone i believ butcher order lamb shanks ph whilst take bloodsom good thingsa fremantl dr visit time room packed i ask stay i scared i felt folk realli rough sound volatil time she took coordin discharg me she kept inform respect supportive she arrang covid pass lockdown borders i felt made differencethank good studentssom nurs tri best obvious run feet opinionin closingin short base experience i would return fsh life depend it the stay main traumatic i even bad dream experiencepleas pass ceo i want platitud replytel action takeni send copi health minister,1,3568,617
34,82539,St George Hospital COVID Vaccine Hub,2021-07-19 17:10:02+00:00,in opinion process well coordin book appoint receiv vaccine i felt thestaff manag constant larg volum peopl profession good humoura someon get anxiou know go do i deepli reassured i believ program team credit public health system,1,229,37
35,82540,St George Hospital COVID Vaccine Hub,2021-07-19 10:52:46+00:00,in opinion well organis quick i felt staff lovely welcom warm,1,61,11
36,82541,Perth Children's Hospital,2021-07-21 16:34:38+00:00,my child anorexia nervosa hospit weekw arriv lunch first day emerg land bed 4a gener midnight thi child 3rd admiss yearmi child tri hard strength find strategi help overcom ill hospit admissions particularli one set backon day child admitted told would move pod bed 4a eat disorder my child express concern medic team fact mix expos peopl loud vocal anorexia selfharm child slide backward start again they would prefer stay 4a gener wardth love nurs coordin discuss team came back said team agre worstcas scenario would child would place privat room pod ward they prefer child pod staf 2 1 patient my child still highli anxiou move choicea turn out child place room anorex patient continu talk selfharm count calori refus fooddur admission i 1 phone call doctor begin admission my child otherwis contact told discharg time pick up i medic inform child mental well physic health discharge there littl communicationwhen i got child home describ trauma drug up lorazepam becam distress spoke around 4day heard medic team need keep away anorex patients they selfharm significantli seemingli notic abl hide food without anyon noticing in opinion was course fuel girl child share room one thing advoc start admissionso i go now i believ child mental damag admission i inform child lie medic due communication my child want attend school would rather take life go back pch i current concern take life trauma admission,0,1410,233
37,82542,St George Hospital COVID Vaccine Hub,2021-07-21 16:38:42+00:00,so impress hearten experi stgh vaccin hubthank staff ongo hard work kind pandemic,1,81,13
38,82544,Fiona Stanley Hospital,2021-07-18 14:02:50+00:00,what kind care team experiencedacross two hospitals my daughter episod fremantl hospit requir transfer fiona stanley hospital at fremantl hospit nurs cheryl monica julieta jie audrey doctor i cant recal name pca care b9s thank you she truli appreci care compassion she scare overwhelm kind allevi concerns the hour manag sarah call kind care offer reassur ok would transfer fiona stanley hospitalthank lichel nurs manager sylvia rmo fay nurs shayn consult fiona stanley hospital i felt short journey emerg depart great patientfamili experience in opiniony amaz job thank you,1,574,89
39,82545,Broome Community Health Service,2021-07-21 17:18:25+00:00,over past two years rebooked forgotten left wait without form apolog notic regard specialist paediatr appoint child review gain diagnosi special needsdis help function everi daytoday life struggles thi happen seven times after final meet behaviour pediatrician agre diagnosi child meet origin sought help for a letter confirm referr need begin formal diagnosi process promis upon leavingit 5 week later mani email myself child school support coordin dr i believ none us abl make contact get answers i extrem dissatisfi disappoint way treat appreci much muck around go someth import child future if system is disappoint minim servic avail area remote i feel sorri famili situat me i feel ok need changed,0,702,112
40,82546,King Edward Memorial Hospital,2021-07-16 19:54:56+00:00,what experi mgp i guid first pregnanc amaz team midwife everi step way help labour birth postnat care happi answer question concern i hadi went pregnanc complet unawar option avail me i thought normal epidur csection birth anoth medic experi done with not my midwif lolita open horizon differ option make labour birth truli uniqu amaz experience use water cope contractions ten machin hypnobirth breath techniques i proudli say help amaz team inform i provid appointments i need drug gave birth healthi babi boy absolut love lifei abl posit birth experi i know alot women cannot say same even thing go plan i requir episiotomi i support inform i requir feel content decis made although birth rare go plan i feel though mine best could possibl bei believ everi woman abl particip program should ladi provid altern view labour birth pain manag i feel wholli benefici life i would chang thing mgp care go recommend over,1,916,156
41,82547,Kununurra Hospital,2021-06-10 18:28:20+00:00,i appoint 40 week checkup visit obstetrician kununurra district hospital i found abrupt forc pushi view opinion i felt i push induc obstetrician timefram previous discussedthey want book there when i request time frame previous discussed i believ i made feel stupid irresponsible they answer question and i feel made assumpt pain i ask about i also specif request stretch sweep procedure offer discussed overal i felt listen to,0,427,69
42,82549,Fremantle Hospital and Health Service,2021-07-21 19:49:37+00:00,my teenag child first surgic procedur recently gastroscopi fremantl hospital the entir team amazing from day surgeri recept team show us bed nurs staff dealt floors anaesthet team surgeon recovery itthey welcom friendly made teen i feel welcom valued let teen know age could sign consent forms collabor us ensur process easy calm safe feel possibleal staff work hardest minimis skin damag teen allergi adhes sensitivefragil skin ehlersdanlo syndrom edsth team surgic  recoveri ward also work realli hard use teen prefer name unless procedur medic consent requir otherwisei felt anaesthetist demonstr clear recognit challeng ed present regard anaesthetic someth teen quit concern aboutth surgeon reassur friendly kept us date inform need need itthank whole team profession friendli support situat could quit distress teen i,1,822,124
43,82550,Royal Flying Doctor Service,2021-07-21 21:24:06+00:00,a month ago holiday karijini nation park father signific head injuri result fall heightsadly father succumb injuri come day pass away icu royal perth hospitalnotwithstand unfortun outcome respons care deliv father except staff intens care unit except deserv recognition all staff dealt with clinic nonclin alik play part level care i would like singl team nurs provid 11 care kath karen sarah jenny jenna laura penni  us end process penny organ donor consult consider professional our icu consultant dr julian led deliveri appropri highlevel care given circumstances he team alway consider family sensit situat complex specif famili need walk us action decis requir undertakenthi team display noth compassion empathi profession gave avail opportun father support family thank youkind regardsfrom family,1,802,120
